date,channel,platform,creativeid,adlength,headlinepurpose,backgroundcolor_luminance,headlinelength,subheadlinelength,ctalength,spend,impressions,clicks,revenue
2025-01-01,display,dv360,CMDSAMM-CID0031,Static,Campaign Slogan,Light,19,14,9,356.0829016,17650.32228,4.86373057,72.37860363
2025-01-01,display,dv360,CMDSAMM-CID0032,Static,Campaign Slogan,Light,19,14,9,405.3698529,36837.55147,7.370588235,24.42475
2025-01-01,display,dv360,CMDSAMM-CID0033,Static,Campaign Slogan,Light,19,21,9,435.072809,25998.98787,5.527640449,67.3394
2025-01-01,display,dv360,CMDSAMM-CID0034,Static,Campaign Slogan,Light,19,15,9,500.5950156,50239.43676,8.373831776,18.1152648
2025-01-01,display,dv360,CMDSAMM-CID0035,Static,Campaign Slogan,Light,19,37,9,283.6702194,12855.8094,2.865830721,0
2025-01-01,display,dv360,CMDSAMM-CID0036,Static,Campaign Slogan,Light,19,22,9,251.0859107,18813.73883,4.257731959,73.30207045
2025-01-01,display,dv360,CMDSAMM-CID0037,Static,Campaign Slogan,Medium,19,24,9,364.4101911,20947.98599,3.977070064,0
2025-01-01,display,dv360,CMDSAMM-CID0038,Static,Campaign Slogan,Dark,19,23,9,437.2550649,20081.81818,6.672727273,111.5543156
2025-01-01,display,dv360,CMDSAMM-CID0039,Static,Campaign Slogan,Dark,19,24,9,273.4552764,20346.92462,3.988944724,18.65980821
2025-01-01,display,dv360,CMDSAMM-CID0040,Static,Campaign Slogan,Dark,19,20,9,245.3828025,18090.2828,3.803184713,12.45312836
2025-01-01,display,dv360,CMDSBTS-CID1,Static,Campaign Slogan,Light,21,16,9,605.4106195,54752.67434,11.57787611,22.40512611
2025-01-01,display,dv360,CMDSBTS-CID2,Static,Campaign Slogan,Light,21,25,9,611.5816901,54396.98028,10.50492958,60.2141743
2025-01-01,display,dv360,CMDSBTS-CID3,Static,Campaign Slogan,Light,21,17,9,302.0266055,29762.00917,7.783486239,47.44543807
2025-01-01,display,dv360,CMDSBTS-CID4,Static,Campaign Slogan,Light,21,17,9,488.3228814,43783.24322,8.334745763,90.87490678
2025-01-01,display,dv360,CMDSBTS-CID5,Static,Campaign Slogan,Light,21,17,9,385.583871,33150.90108,7.805376344,0
2025-01-01,display,dv360,CMDSBTS-CID6,Static,Campaign Slogan,Light,21,17,9,194.7046729,14539.15701,3.225233645,73.05784346
2025-01-01,display,dv360,CMDSBTS-CID7,Static,Campaign Slogan,Light,21,13,9,582.9259259,42474.92525,9.116498316,155.4111481
2025-01-01,display,dv360,CMDSBTS-CID8,Static,Campaign Slogan,Light,21,9,9,546.1530864,36265.30041,8.4,55.76100125
2025-01-01,display,dv360,CMDSBTS-CID9,Static,Campaign Slogan,Light,21,28,9,371.4233236,20311.42857,9.481632653,315.6745583
