date,channel,platform,creativeid,adlength,headlinepurpose,backgroundcolor_luminance,headlinelength,subheadlinelength,ctalength,spend,impressions,clicks,revenue
2024-12-30,display,dv360,CMDSAMM-CID0031,Static,Campaign Slogan,Light,19,14,9,160.792,8691.312,2.296,0
2024-12-30,display,dv360,CMDSAMM-CID0032,Static,Campaign Slogan,Light,19,14,9,194.262069,14279.51724,3.234482759,0
2024-12-30,display,dv360,CMDSAMM-CID0033,Static,Campaign Slogan,Light,19,21,9,284.9730769,18254.54615,4.2,189.9609038
2024-12-30,display,dv360,CMDSAMM-CID0034,Static,Campaign Slogan,Light,19,15,9,286.6481481,23690.62222,3.759259259,0
2024-12-30,display,dv360,CMDSAMM-CID0035,Static,Campaign Slogan,Light,19,37,9,161.9555556,10925.91111,2.255555556,0
2024-12-30,display,dv360,CMDSAMM-CID0036,Static,Campaign Slogan,Light,19,22,9,143.6580645,11187.26452,2.84516129,0
2024-12-30,display,dv360,CMDSAMM-CID0037,Static,Campaign Slogan,Medium,19,24,9,347.5459459,20451.2,4.162162162,0
2024-12-30,display,dv360,CMDSAMM-CID0038,Static,Campaign Slogan,Dark,19,23,9,225.4580645,10377.52258,8.264516129,342.7553871
2024-12-30,display,dv360,CMDSAMM-CID0039,Static,Campaign Slogan,Dark,19,24,9,71.26666667,5822.133333,1.555555556,0
2024-12-30,display,dv360,CMDSAMM-CID0040,Static,Campaign Slogan,Dark,19,20,9,136.4592593,9690.592593,2.074074074,0
2024-12-30,display,dv360,CMDSBTS-CID1,Static,Campaign Slogan,Light,21,16,9,530.6677966,37462.19661,8.281355932,85.82302542
2024-12-30,display,dv360,CMDSBTS-CID2,Static,Campaign Slogan,Light,21,25,9,536.0742857,42221.4,8.94,244.2975071
2024-12-30,display,dv360,CMDSBTS-CID3,Static,Campaign Slogan,Light,21,17,9,257.9884615,21622.62308,6.003846154,0
2024-12-30,display,dv360,CMDSBTS-CID4,Static,Campaign Slogan,Light,21,17,9,662.7686275,56131.30196,8.949019608,105.7991863
2024-12-30,display,dv360,CMDSBTS-CID5,Static,Campaign Slogan,Light,21,17,9,552.8545455,43260.40727,9.265454545,0
2024-12-30,display,dv360,CMDSBTS-CID6,Static,Campaign Slogan,Light,21,17,9,197.5155556,12974.45333,3.391111111,0
2024-12-30,display,dv360,CMDSBTS-CID7,Static,Campaign Slogan,Light,21,13,9,467.2346667,31632.496,8.325333333,542.5933333
2024-12-30,display,dv360,CMDSBTS-CID8,Static,Campaign Slogan,Light,21,9,9,561.3639344,38342.09836,9.272131148,0
2024-12-30,display,dv360,CMDSBTS-CID9,Static,Campaign Slogan,Light,21,28,9,246.0609756,15276.15122,5.053658537,0
2024-12-30,display,dv360,CMDSMKS-CID2,Static,Product Detail,Light,17,20,9,184.5657143,12405.92,2.48,0
2024-12-30,display,dv360,CMDSMKS-CID3,Static,Product Detail,Light,16,27,9,112.283871,8913.845161,1.896774194,0
2024-12-30,display,dv360,CMDSMKS-CID4,Static,Product Detail,Medium,15,23,9,174.4540541,12124.52973,2.459459459,0
2024-12-30,display,dv360,CMDSMKS-CID5,Static,Product Detail,Light,18,19,9,177.1818182,13899.96364,2.587878788,0
2024-12-30,display,dv360,CMDSMKS-CID7,Static,Product Detail,Medium,19,21,9,231.597619,12969.13333,2.983333333,0
2024-12-30,display,dv360,CMDSMKS-CID8,Static,Product Detail,Light,16,21,9,248.0285714,18896.2,4.333333333,0
2024-12-30,display,dv360,CMDSPMM-CID1,Static,Product Detail,Light,15,19,5,739.4473684,49361.2,12.96842105,0
2024-12-30,display,dv360,CMDSPMM-CID10,Static,Product Detail,Light,20,20,5,811.9288889,56541.45778,12.22666667,333.0674111
2024-12-30,display,dv360,CMDSPMM-CID11,Static,Product Detail,Light,16,14,5,397.26,29081.78,5.075,0
2024-12-30,display,dv360,CMDSPMM-CID4,Static,Product Detail,Light,19,29,5,137.2,9953.6,2.333333333,0
2024-12-30,display,dv360,CMDSPMM-CID5,Static,Product Detail,Light,17,23,5,427.7568182,30067.86364,6.554545455,0
2024-12-30,display,dv360,CMDSPMM-CID6,Static,Product Detail,Medium,18,22,5,450.5638889,24715.91111,7.019444444,0
2024-12-30,display,dv360,CMDSPMM-CID7,Static,Product Detail,Light,13,24,5,545.4090909,37743.19394,7.16969697,0
2024-12-30,display,dv360,CMDSPMM-CID8,Static,Product Detail,Light,16,27,5,494.2133333,35964.38222,6.44,0
