date,spend_paid_search,spend_paid_social,spend_programmatic,spend_email,visits,qualified_visits,kbas,leads
2025-01-01,180808,78657,235521,18759,256276,177063,22038,3031
2025-01-02,204685,65129,268525,25410,260860,149113,20592,1785
2025-01-03,317799,51071,448778,17074,213008,122482,24794,1327
2025-01-04,177290,61904,524393,25708,207523,116700,31871,4627
2025-01-05,60781,62175,218027,19323,281375,80095,19229,3740
2025-01-06,345065,59102,540965,16784,271987,119113,15931,5573
2025-01-07,247106,69792,251095,12950,284497,129138,11622,3067
2025-01-08,277046,63783,317133,22908,288441,167431,37357,1034
2025-01-09,222761,55805,301504,28606,236199,187949,36824,5536
2025-01-10,96818,68067,557428,28065,221254,133665,44392,700
2025-01-11,70735,78693,436990,24744,219485,104717,25234,998
2025-01-12,71845,71864,572301,25168,277208,111760,36348,3815
2025-01-13,226255,69958,352950,21105,221558,170816,22508,2955
2025-01-14,341386,67572,214531,17504,241411,106346,28151,1247
2025-01-15,98818,72075,407994,12275,241903,96739,31158,819
2025-01-16,372666,68117,544898,12035,283449,97278,42454,1309
2025-01-17,230672,71584,552019,19797,236585,98045,24489,1141
2025-01-18,395727,79517,374548,22133,219995,166662,30197,4404
2025-01-19,71416,59482,243517,28736,276605,134949,20715,3168
2025-01-20,81050,53570,480293,13292,232961,248678,22919,2091
2025-01-21,60253,77001,588771,17606,215089,127769,40954,1919
2025-01-22,61634,77497,381089,24104,289648,246064,18549,3790
2025-01-23,158628,61513,439115,14786,236000,86092,30172,5846
2025-01-24,113157,65055,218303,22357,275292,195938,25013,3121
2025-01-25,145060,67864,207973,11207,245278,83527,20849,1968
2025-01-26,349223,75627,242224,14986,255216,83259,22153,5252
2025-01-27,304995,53982,467314,19386,290048,167986,25357,3998
2025-01-28,68130,67662,478963,27098,209047,142622,10392,2847
2025-01-29,90623,68733,509818,20214,269477,107569,23442,4844
2025-01-30,179963,69933,523005,22620,276221,162805,36505,1522
2025-01-31,361577,77739,351167,21206,279676,146006,43027,1614
2025-02-01,55205,58736,384318,15887,294474,185074,32138,2020
2025-02-02,310162,69307,251553,16867,274710,189720,37468,1445
2025-02-03,192764,72302,445285,10158,272502,224982,33194,4176
2025-02-04,82821,55502,345300,20689,268118,219391,29404,1718
2025-02-05,204864,50431,411150,29437,224464,210404,14148,4210
2025-02-06,70077,63102,579645,21146,271347,204609,10445,3816
2025-02-07,132685,60431,488159,11352,211854,228012,40476,4166
2025-02-08,127438,61763,557045,18087,298541,122900,37466,5729
